"index"	"Date (MM/DD/YYYY)"	"File"	"Gtype"	"Flight Time"	"Start Time"	"End Time"	"Landing"	"Start_Alt (ft MSL)"	"Max Altitude (ft MSL/ft AGL)"	"Surface Height (ft MSL)"	"Pressure Altitude (ft MSL)"	"Offset (ft)"	"Sensor Info"	"ENL_Engine_Run_Start_Times"	"MOP_Engine_Run_Start_Times"	"RPM_Engine_Run_Start_Times"	"ENL_Engine_Run_Altitudes_MSL"	"MOP_Engine_Run_Altitudes_MSL"	"RPM_Engine_Run_Altitudes_MSL"	"ENL_Engine_Run_Altitudes_AGL"	"MOP_Engine_Run_Altitudes_AGL"	"RPM_Engine_Run_Altitudes_AGL"	"ENL_Noise_Registration_Times"	"MOP_Noise_Registration_Times"	"RPM_Noise_Registration_Times"	"ENL_Noise_Registration_Altitudes_AGL"	"MOP_Noise_Registration_Altitudes_AGL"	"RPM_Noise_Registration_Altitudes_AGL"	"first_event_time"	"event_type"	"event_sensor"	"first_event_datetime"	"flight_start_datetime"	"window_start"	"window_end"	"engine_run_agls"	"altitude_rate_pre_event_window (ft/s)"	"distance_traveled_during_window (miles)"	"is_circling_during_pre_event_window"	"terrain_elev_at_engine_run (ft)"	"terrain_label_at_engine_run"	"Engine_Start_Above_1000ft"	"engine_run_times (s)"	"height_gain_loss (ft)"	"avg_speed_while_engine_running (knots)"	"min_speed_while_engine_running (knots)"	"max_speed_while_engine_running (knots)"	"All_Min_TAS_knots"	"All_Max_TAS_knots"	"All_Avg_TAS_knots"	"All_Post_Run_Min_TAS_knots"	"All_Post_Run_Max_TAS_knots"	"All_Post_Run_Avg_TAS_knots"	"Circling_Segment_Found"	"Min_Speed_While_Engine_Running_knots"	"Max_Speed_While_Engine_Running_knots"	"Avg_Speed_While_Engine_Running_knots"
"13"	"08/18/2020"	"2020-08-18-CNI-20Y-01.IGC"	"ASW 27-18 E (ASG-29E)"	"3:37:01"	"164459"	"202200"	"HOME"	"652"	"7208[5847]"	"199"	"215"	"16"	"ASG29E.'s ENL monitor reports Engine Run 3 minutes, starts at T=165704 and: 1410 msl [656 agl]; Height gain/loss is: 1368
ASG29E. Motor noise registered by ENL sensor at t=['165704', '170029'] and [656, 1830]AGL"	"165704"	""	""	"1410"	""	""	"656.0"	""	""	"165704,170029"	""	""	"656.0,1830.0"	""	""	"165704"	"Engine_Run_Start"	"ENL"	"2020-08-18 16:57:04"	"1900-01-01 16:44:59"	"2020-08-18 16:52:04"	"2020-08-18 16:57:04"	"656.0"	"-0.9366666666666666"	"5.448886282964505"	"False"	"772.6464806646728"	"Closed Forest, Deciduous Broadleaf"	"False"	"180"	"1368"	""	""	""	"45.4"	"94.9"	"69.3"	"45.4"	"81.7"	"65.1"	"True"	""	""	""
"15"	"06/27/2024"	"46RGJUM1.IGC"	"VENTUS 3F"	"3:42:29"	"193703"	"231932"	"HOME"	"3713"	"11335[8058]"	"1132"	"1103"	"-29"	"Ventus-3FES's ENL monitor reports Engine Run 2 minutes, starts at T=193703 and: 3717 msl [13 agl]; Height gain/loss is: 908
Ventus-3FES Motor noise registered by ENL sensor at t=['193704', '193939', '231923'] and [13, 951, 102]AGL"	"193703"	""	""	"3717"	""	""	"13.0"	""	""	"193704,193939,231923"	""	""	"13.0,951.0,102.0"	""	""	"193703"	"Engine_Run_Start"	"ENL"	"2024-06-27 19:37:03"	"1900-01-01 19:37:03"	"2024-06-27 19:32:03"	"2024-06-27 19:37:03"	"13.0"	"0.006289308176100629"	"0.07173190002768376"	"False"	"3695.718478022461"	"Herbaceous vegetation"	"False"	"120"	"908"	""	""	""	"45.0"	"91.7"	"54.6"	"45.4"	"94.3"	"78.7"	"True"	""	""	""
"24"	"06/29/2018"	"2018-06-29-NKL-10Q-01.IGC"	"ASW 27-18 E (ASG-29E)"	"3:18:46"	"183835"	"215721"	"HOME"	"301"	"4576[4373]"	"92"	"78"	"-14"	"ASG29E's ENL monitor reports Engine Run 1 minutes, starts at T=184738 and: 1630 msl [1335 agl]; Height gain/loss is: 233
ASG29E Motor noise registered by ENL sensor at t=['184738', '184841'] and [1335, 1565]AGL"	"184738"	""	""	"1630"	""	""	"1335.0"	""	""	"184738,184841"	""	""	"1335.0,1565.0"	""	""	"184738"	"Engine_Run_Start"	"ENL"	"2018-06-29 18:47:38"	"1900-01-01 18:38:35"	"2018-06-29 18:42:38"	"2018-06-29 18:47:38"	"1335.0"	"-0.7866666666666666"	"5.75225173751222"	"False"	"291.9629708551025"	"Herbaceous vegetation"	"True"	"60"	"233"	""	""	""	"53.0"	"79.8"	"58.6"	"45.8"	"70.0"	"57.5"	"True"	""	""	""
"25"	"06/09/2018"	"2018-06-09-CNI-20E-01.IGC"	"ASW 27-18 E (ASG-29E)"	"2:39:52"	"193132"	"221124"	"HOME"	"1578"	"5885[4203]"	"481"	"488"	"7"	"ASG29's ENL monitor reports Engine Run 2 minutes, starts at T=202616 and: 2444 msl [830 agl]; Height gain/loss is: 941
ASG29's ENL monitor reports Engine Run 4 minutes, starts at T=203056 and: 2939 msl [1306 agl]; Height gain/loss is: 555
ASG29 Motor noise registered by ENL sensor at t=['195940', '195956', '202616', '202836', '203056', '203500'] and [2024, 2146, 830, 1735, 1306, 1923]AGL"	"202616,203056"	""	""	"2444,2939"	""	""	"830.0,1306.0"	""	""	"195940,195956,202616,202836,203056,203500"	""	""	"2024.0,2146.0,830.0,1735.0,1306.0,1923.0"	""	""	"202616"	"Engine_Run_Start"	"ENL"	"2018-06-09 20:26:16"	"1900-01-01 19:31:32"	"2018-06-09 20:21:16"	"2018-06-09 20:26:16"	"830.0,1306.0"	"-0.6933333333333334,0.26666666666666666"	"4.463127839070065,5.358018263441912"	"False,False"	"1574.4498649060058,1609.065790678711"	"Open Forest, Other,Herbaceous vegetation"	"False,True"	"120,240"	"941, 555"	""	""	""	"47.8,45.6"	"72.8,83.5"	"57.6,62.6"	"45.6,45.0"	"71.6,73.8"	"59.1,60.6"	"False"	""	""	""
"28"	"06/04/2023"	"2023-06-04-LXV-NBR-01.IGC"	"VENTUS 3F"	"4:13:53"	"170746"	"212139"	"HOME"	"301"	"5698[5318]"	"92"	"105"	"13"	"Ventus3FES's MOP monitor reports Engine Run 1 minutes, starts at T=171756 and: 4055 msl [3737 agl]; Height gain/loss is: -132
Ventus3FES Motor noise registered by ENL sensor at t=['171829', '171830'] and [3704, 3704]AGL
Ventus3FES Motor noise registered by MOP sensor at t=['171747', '171904'] and [3770, 3599]AGL"	""	"171756"	""	""	"4055"	""	""	"3737.0"	""	"171829,171830"	"171747,171904"	""	"3704.0,3704.0"	"3770.0,3599.0"	""	"171756"	"Engine_Run_Start"	"MOP"	"2023-06-04 17:17:56"	"1900-01-01 17:07:46"	"2023-06-04 17:12:56"	"2023-06-04 17:17:56"	"3737.0"	"1.4033333333333333"	"6.031294805978373"	"True"	"334.5177724957275"	"Agriculture"	"True"	"60"	"-132"	"73.52"	"63.16"	"83.13"	"45.0"	"94.3"	"57.0"	"46.9"	"94.9"	"80.7"	"True"	"63.16"	"83.13"	"73.52"
"32"	"08/18/2018"	"2018-08-18-CNI-232-01.IGC"	"ASH 31 MI"	"5:14:00"	"180340"	"231740"	"HOME"	"938"	"8805[8389]"	"286"	"270"	"-16"	"ASH31mi18's ENL monitor reports Engine Run 11 minutes, starts at T=180340 and: 938 msl [23 agl]; Height gain/loss is: 2467
ASH31mi18's ENL monitor reports Engine Run 11 minutes, starts at T=223420 and: 1394 msl [873 agl]; Height gain/loss is: 2684
ASH31mi18 Motor noise registered by ENL sensor at t=['180344', '181508', '223420', '224540'] and [20, 2526, 873, 3445]AGL"	"180340,223420"	""	""	"938,1394"	""	""	"23.0,873.0"	""	""	"180344,181508,223420,224540"	""	""	"20.0,2526.0,873.0,3445.0"	""	""	"223420"	"Engine_Run_Start"	"ENL"	"2018-08-18 22:34:20"	"1900-01-01 18:03:40"	"2018-08-18 22:29:20"	"2018-08-18 22:34:20"	"23.0,873.0"	"0.0,-0.82"	"0.10116523873026362,7.357226278160366"	"False,False"	"930.7828585290528,510.19925526123046"	"Shrubs,Shrubs"	"False,False"	"660,660"	"2467, 2684"	""	""	""	"49.4,56.9"	"91.8,80.4"	"64.4,66.4"	"53.8,51.0"	"83.0,78.8"	"68.5,63.5"	"True"	""	""	""
"43"	"03/14/2020"	"03EGIQO1.IGC"	"SZD-56-3 DIANA-2 FES"	"4:07:39"	"170331"	"211110"	"HOME"	"144"	"5682[5603]"	"44"	"-78"	"-122"	"Diana2's ENL monitor reports Engine Run 1 minutes, starts at T=210805 and: 731 msl [577 agl]; Height gain/loss is: 122
Diana2 Motor noise registered by ENL sensor at t=['170332', '170345', '210805', '210936', '211051', '211107'] and [26, 53, 577, 729, 86, 86]AGL"	"210805"	""	""	"731"	""	""	"577.0"	""	""	"170332,170345,210805,210936,211051,211107"	""	""	"26.0,53.0,577.0,729.0,86.0,86.0"	""	""	"210805"	"Engine_Run_Start"	"ENL"	"2020-03-14 21:08:05"	"1900-01-01 17:03:31"	"2020-03-14 21:03:05"	"2020-03-14 21:08:05"	"577.0"	"-0.8933333333333333"	"5.558330022169933"	"False"	"156.53685822875977"	"Closed Forest, Evergreen Needleleaf"	"False"	"60"	"122"	""	""	""	"47.1"	"61.6"	"52.5"	"46.2"	"80.0"	"67.2"	"True"	""	""	""
"48"	"08/04/2024"	"2024-08-04-CNI-29F-01.IGC"	"AS 33ES"	"3:33:16"	"164835"	"202151"	"HOME"	"1712"	"5980[4872]"	"522"	"505"	"-17"	"as33's ENL monitor reports Engine Run 1 minutes, starts at T=165847 and: 3704 msl [2136 agl]; Height gain/loss is: 108
as33 Motor noise registered by ENL sensor at t=['165847', '170039'] and [2136, 2054]AGL"	"165847"	""	""	"3704"	""	""	"2136.0"	""	""	"165847,170039"	""	""	"2136.0,2054.0"	""	""	"165847"	"Engine_Run_Start"	"ENL"	"2024-08-04 16:58:47"	"1900-01-01 16:48:35"	"2024-08-04 16:53:47"	"2024-08-04 16:58:47"	"2136.0"	"0.07"	"5.4686949740998925"	"True"	"1572.061523922119"	"Open Forest, Other"	"True"	"60"	"108"	""	""	""	"48.9"	"65.3"	"57.1"	"47.3"	"70.7"	"60.2"	"True"	""	""	""
"50"	"05/22/2014"	"2014-05-22-NKL-10R-01.IGC"	"DISCUS-2CT"	"2:06:56"	"174539"	"195235"	"HOME"	"803"	"6751[5876]"	"245"	"278"	"33"	"Discus2ct's ENL monitor reports Engine Run 4 minutes, starts at T=192935 and: 2417 msl [1151 agl]; Height gain/loss is: 712
Discus2ct Motor noise registered by ENL sensor at t=['174935', '175003', '192935', '193431'] and [456, 489, 1151, 1942]AGL"	"192935"	""	""	"2417"	""	""	"1151.0"	""	""	"174935,175003,192935,193431"	""	""	"456.0,489.0,1151.0,1942.0"	""	""	"192935"	"Engine_Run_Start"	"ENL"	"2014-05-22 19:29:35"	"1900-01-01 17:45:39"	"2014-05-22 19:24:35"	"2014-05-22 19:29:35"	"1151.0"	"-0.47333333333333333"	"6.141103828340458"	"False"	"1266.4326750146483"	"Closed Forest, Deciduous Broadleaf"	"True"	"240"	"712"	""	""	""	"77.3"	"90.3"	"85.5"	"55.0"	"87.1"	"80.4"	"True"	""	""	""
"54"	"04/25/2013"	"2013-04-25-NKL-10Q-01.IGC"	"ASW 27-18 E (ASG-29E)"	"2:16:20"	"191426"	"213046"	"HOME"	"423"	"6256[5866]"	"129"	"62"	"-67"	"ASG29's ENL monitor reports Engine Run 2 minutes, starts at T=191814 and: 2011 msl [1532 agl]; Height gain/loss is: 469
ASG29 Motor noise registered by ENL sensor at t=['191814', '192054'] and [1532, 2011]AGL"	"191814"	""	""	"2011"	""	""	"1532.0"	""	""	"191814,192054"	""	""	"1532.0,2011.0"	""	""	"191814"	"Engine_Run_Start"	"ENL"	"2013-04-25 19:18:14"	"1900-01-01 19:14:26"	"2013-04-25 19:13:14"	"2013-04-25 19:18:14"	"1532.0"	"1.6133333333333333"	"4.765057043862587"	"False"	"469.8022607269287"	"Closed Forest, Other"	"True"	"120"	"469"	""	""	""	"50.3"	"61.6"	"56.3"	"48.5"	"76.4"	"61.3"	"False"	""	""	""
"59"	"05/26/2016"	"2016-05-26-CNI-21L-01.IGC"	"VENTUS 2CT"	"2:02:48"	"173624"	"193912"	"HOME"	"803"	"7385[5925]"	"245"	"214"	"-31"	"VENTUS2CT's ENL monitor reports Engine Run 2 minutes, starts at T=193124 and: 1561 msl [768 agl]; Height gain/loss is: 601
VENTUS2CT Motor noise registered by ENL sensor at t=['193124', '193344'] and [768, 1365]AGL"	"193124"	""	""	"1561"	""	""	"768.0"	""	""	"193124,193344"	""	""	"768.0,1365.0"	""	""	"193124"	"Engine_Run_Start"	"ENL"	"2016-05-26 19:31:24"	"1900-01-01 17:36:24"	"2016-05-26 19:26:24"	"2016-05-26 19:31:24"	"768.0"	"-1.0766666666666667"	"5.726733646398725"	"False"	"803.4107635552979"	"Urban"	"False"	"120"	"601"	""	""	""	"60.6"	"72.4"	"68.5"	"48.2"	"94.9"	"77.7"	"True"	""	""	""
"60"	"03/14/2018"	"2018-03-14-CNI-20E-01.IGC"	"ASW 27-18 E (ASG-29E)"	"2:10:30"	"175918"	"200948"	"HOME"	"137"	"4520[4412]"	"42"	"-15"	"-57"	"ASG29's ENL monitor reports Engine Run 6 minutes, starts at T=193436 and: 767 msl [607 agl]; Height gain/loss is: 1250
ASG29 Motor noise registered by ENL sensor at t=['193436', '194044'] and [607, 1801]AGL"	"193436"	""	""	"767"	""	""	"607.0"	""	""	"193436,194044"	""	""	"607.0,1801.0"	""	""	"193436"	"Engine_Run_Start"	"ENL"	"2018-03-14 19:34:36"	"1900-01-01 17:59:18"	"2018-03-14 19:29:36"	"2018-03-14 19:34:36"	"607.0"	"-0.84"	"4.673325732646688"	"False"	"139.46836522369384"	"Shrubs"	"False"	"360"	"1250"	""	""	""	"45.1"	"60.4"	"52.1"	"45.5"	"65.9"	"54.4"	"False"	""	""	""
"61"	"03/15/2017"	"2017-03-15-CNI-22G-01.IGC"	"ASH 30 MI"	"1:15:12"	"180332"	"191844"	"HOME"	"134"	"3654[3461]"	"41"	"-26"	"-67"	"ASH30Mi's ENL monitor reports Engine Run 6 minutes, starts at T=180332 and: 134 msl [-6 agl]; Height gain/loss is: 2028
ASH30Mi's ENL monitor reports Engine Run 2 minutes, starts at T=185048 and: 974 msl [837 agl]; Height gain/loss is: 1138
ASH30Mi's ENL monitor reports Engine Run 4 minutes, starts at T=190100 and: 977 msl [836 agl]; Height gain/loss is: 1142
ASH30Mi Motor noise registered by ENL sensor at t=['180336', '180932', '185048', '185336', '190100', '190524'] and [-6, 2025, 837, 1929, 836, 1969]AGL"	"180332,185048,190100"	""	""	"134,974,977"	""	""	"-6.0,837.0,836.0"	""	""	"180336,180932,185048,185336,190100,190524"	""	""	"-6.0,2025.0,837.0,1929.0,836.0,1969.0"	""	""	"185048"	"Engine_Run_Start"	"ENL"	"2017-03-15 18:50:48"	"1900-01-01 18:03:32"	"2017-03-15 18:45:48"	"2017-03-15 18:50:48"	"-6.0,837.0,836.0"	"0.0,-1.01,-0.9433333333333334"	"0.12385047953168818,6.36001158991502,5.894502338773891"	"False,False,False"	"141.5480261013794,138.4542164089966,128.3831775126648"	"Shrubs,Shrubs,Urban"	"False,False,False"	"360,120,240"	"2028, 1138, 1142"	""	""	""	"53.7,57.9,60.7"	"67.4,66.9,71.0"	"61.1,61.7,65.0"	"52.9,60.4,56.9"	"67.8,70.4,69.8"	"62.1,64.2,63.4"	"True"	""	""	""
"79"	"06/12/2010"	"06CC4A41.IGC"	"Antares 20E"	"2:44:00"	"170857"	"195257"	"HOME"	"301"	"5144[4744]"	"92"	"27"	"-65"	"Antares20E's ENL monitor reports Engine Run 2 minutes, starts at T=171241 and: 2408 msl [2071 agl]; Height gain/loss is: 88
Antares20E's ENL monitor reports Engine Run 1 minutes, starts at T=173225 and: 4383 msl [4098 agl]; Height gain/loss is: -177
Antares20E's ENL monitor reports Engine Run 1 minutes, starts at T=180209 and: 3038 msl [2582 agl]; Height gain/loss is: -427
Antares20E's ENL monitor reports Engine Run 1 minutes, starts at T=180429 and: 2746 msl [2369 agl]; Height gain/loss is: 134
Antares20E's ENL monitor reports Engine Run 2 minutes, starts at T=180601 and: 2864 msl [2458 agl]; Height gain/loss is: -237
Antares20E's ENL monitor reports Engine Run 1 minutes, starts at T=181157 and: 3001 msl [2608 agl]; Height gain/loss is: -295
Antares20E's ENL monitor reports Engine Run 1 minutes, starts at T=190853 and: 3523 msl [3149 agl]; Height gain/loss is: -318
Antares20E's ENL monitor reports Engine Run 1 minutes, starts at T=193613 and: 3494 msl [3137 agl]; Height gain/loss is: -243
Antares20E's ENL monitor reports Engine Run 1 minutes, starts at T=194449 and: 2509 msl [2247 agl]; Height gain/loss is: -328
Antares20E's ENL monitor reports Engine Run 2 minutes, starts at T=195025 and: 1112 msl [778 agl]; Height gain/loss is: -761
Antares20E Motor noise registered by ENL sensor at t=['171241', '171517', '172233', '172253', '172453', '172517', '172525', '172609', '173225', '173405', '173613', '173637', '173757', '173825', '175429', '175457', '175521', '175557', '175625', '175705', '180209', '180337', '180429', '180541', '180601', '180801', '181157', '181309', '181321', '181345', '181421', '181449', '181505', '181545', '181757', '181829', '182009', '182041', '183601', '183617', '183705', '183721', '183837', '183853', '184345', '184405', '185033', '185117', '185845', '185929', '185945', '190037', '190825', '190845', '190853', '191017', '191929', '191941', '192057', '192129', '192517', '192537', '192837', '192901', '192921', '192933', '193021', '193037', '193417', '193453', '193513', '193541', '193613', '193713', '193733', '193749', '193805', '193837', '194101', '194121', '194349', '194413', '194449', '194605', '194737', '194753', '194933', '195013', '195025', '195257'] and [2071, 2185, 4141, 4065, 4055, 4092, 4065, 3924, 4098, 3915, 3592, 3481, 3438, 3370, 3468, 3524, 3612, 3531, 3658, 3504, 2582, 2228, 2369, 2493, 2458, 2217, 2608, 2313, 2258, 2185, 2096, 2041, 2063, 1887, 1969, 2044, 1913, 1873, 4134, 4085, 3970, 3941, 3776, 3704, 4465, 4288, 3760, 3645, 2736, 2632, 2673, 2707, 3216, 3219, 3149, 2822, 3836, 3819, 3875, 3747, 2983, 3074, 3987, 3918, 3910, 3832, 3635, 3582, 3044, 2972, 3080, 3011, 3137, 2881, 2792, 2746, 2694, 2608, 2526, 2461, 2352, 2290, 2247, 1863, 1643, 1512, 971, 850, 778, 33]AGL"	"171241,173225,180209,180429,180601,181157,190853,193613,194449,195025"	""	""	"2408,4383,3038,2746,2864,3001,3523,3494,2509,1112"	""	""	"2071.0,4098.0,2582.0,2369.0,2458.0,2608.0,3149.0,3137.0,2247.0,778.0"	""	""	"171241,171517,172233,172253,172453,172517,172525,172609,173225,173405,173613,173637,173757,173825,175429,175457,175521,175557,175625,175705,180209,180337,180429,180541,180601,180801,181157,181309,181321,181345,181421,181449,181505,181545,181757,181829,182009,182041,183601,183617,183705,183721,183837,183853,184345,184405,185033,185117,185845,185929,185945,190037,190825,190845,190853,191017,191929,191941,192057,192129,192517,192537,192837,192901,192921,192933,193021,193037,193417,193453,193513,193541,193613,193713,193733,193749,193805,193837,194101,194121,194349,194413,194449,194605,194737,194753,194933,195013,195025,195257"	""	""	"2071.0,2185.0,4141.0,4065.0,4055.0,4092.0,4065.0,3924.0,4098.0,3915.0,3592.0,3481.0,3438.0,3370.0,3468.0,3524.0,3612.0,3531.0,3658.0,3504.0,2582.0,2228.0,2369.0,2493.0,2458.0,2217.0,2608.0,2313.0,2258.0,2185.0,2096.0,2041.0,2063.0,1887.0,1969.0,2044.0,1913.0,1873.0,4134.0,4085.0,3970.0,3941.0,3776.0,3704.0,4465.0,4288.0,3760.0,3645.0,2736.0,2632.0,2673.0,2707.0,3216.0,3219.0,3149.0,2822.0,3836.0,3819.0,3875.0,3747.0,2983.0,3074.0,3987.0,3918.0,3910.0,3832.0,3635.0,3582.0,3044.0,2972.0,3080.0,3011.0,3137.0,2881.0,2792.0,2746.0,2694.0,2608.0,2526.0,2461.0,2352.0,2290.0,2247.0,1863.0,1643.0,1512.0,971.0,850.0,778.0,33.0"	""	""	"173225"	"Engine_Run_Start"	"ENL"	"2010-06-12 17:32:25"	"1900-01-01 17:08:57"	"2010-06-12 17:27:25"	"2010-06-12 17:32:25"	"2071.0,4098.0,2582.0,2369.0,2458.0,2608.0,3149.0,3137.0,2247.0,778.0"	"2.4597701149425286,0.2633333333333333,-0.77,-0.6966666666666667,-0.3433333333333333,0.37333333333333335,-0.5833333333333334,-0.37333333333333335,-0.57,-1.2733333333333334"	"4.778870092609645,6.979941904629049,7.857563060582664,7.560258502989789,6.934508020873657,6.289768194669579,6.982547000816952,7.003122057148333,7.22737698267392,7.986746984521019"	"False,False,False,False,False,False,False,False,False,False"	"324.80759045562746,306.0814312136841,438.2304334326172,373.49689607513426,397.3670646087646,393.4617556427002,398.63419994903563,326.43256643798827,285.81785380737307,338.8256271533203"	"Herbaceous vegetation,Closed Forest, Other,Agriculture,Open Forest, Other,Agriculture,Closed Forest, Other,Closed Forest, Evergreen Needleleaf,Open Forest, Other,Closed Forest, Other,Closed Forest, Evergreen Needleleaf"	"True,True,True,True,True,True,True,True,True,False"	"120,60,60,60,120,60,60,60,60,120"	"88, -177, -427, 134, -237, -295, -318, -243, -328, -761"	""	""	""	"53.7,69.1,78.2,56.5,74.5,65.6,67.8,59.7,72.2,45.4"	"72.3,73.0,81.2,63.0,82.2,68.9,70.4,81.5,75.9,74.8"	"64.9,70.5,80.1,60.2,78.7,67.1,68.2,73.8,74.1,67.9"	"56.7,66.4,55.6,55.6,53.5,54.1,59.4,54.9,61.9"	"66.1,82.6,82.9,82.2,71.1,72.6,81.4,81.1,93.7"	"60.7,73.9,70.6,68.0,63.1,66.2,64.5,75.4,75.1"	"False"	""	""	""
"92"	"06/27/2017"	"2017-06-27-CNI-23P-01.IGC"	"LAK-17AT"	"3:34:40"	"193133"	"230613"	"HOME"	"3694"	"9445[5663]"	"1126"	"1097"	"-29"	"LAK17AT's ENL monitor reports Engine Run 10 minutes, starts at T=224417 and: 5232 msl [1387 agl]; Height gain/loss is: 2166
LAK17AT Motor noise registered by ENL sensor at t=['224417', '225509'] and [1387, 3609]AGL"	"224417"	""	""	"5232"	""	""	"1387.0"	""	""	"224417,225509"	""	""	"1387.0,3609.0"	""	""	"224417"	"Engine_Run_Start"	"ENL"	"2017-06-27 22:44:17"	"1900-01-01 19:31:33"	"2017-06-27 22:39:17"	"2017-06-27 22:44:17"	"1387.0"	"-0.13"	"5.175687409566518"	"False"	"3843.953413330078"	"Agriculture"	"True"	"600"	"2166"	""	""	""	"67.0"	"83.4"	"72.8"	"66.7"	"94.9"	"79.1"	"True"	""	""	""
"102"	"10/12/2015"	"2015-10-12-CNI-20Y-01.IGC"	"ASW 27-18 E (ASG-29E)"	"2:09:59"	"170732"	"191731"	"HOME"	"554"	"4143[3212]"	"169"	"208"	"39"	"ASG29E.'s ENL monitor reports Engine Run 13 minutes, starts at T=184951 and: 1555 msl [742 agl]; Height gain/loss is: 2546
ASG29E. Motor noise registered by ENL sensor at t=['184951', '190255'] and [742, 2865]AGL"	"184951"	""	""	"1555"	""	""	"742.0"	""	""	"184951,190255"	""	""	"742.0,2865.0"	""	""	"184951"	"Engine_Run_Start"	"ENL"	"2015-10-12 18:49:51"	"1900-01-01 17:07:32"	"2015-10-12 18:44:51"	"2015-10-12 18:49:51"	"742.0"	"-1.0266666666666666"	"4.622815395474284"	"False"	"788.5633806072998"	"Herbaceous vegetation"	"False"	"780"	"2546"	""	""	""	"45.0"	"69.4"	"51.4"	"45.1"	"71.6"	"58.3"	"True"	""	""	""
"105"	"04/18/2021"	"2021-04-18-CNI-21D-01.IGC"	"DG-808 C"	"2:42:40"	"172603"	"200843"	"HOME"	"442"	"6922[6479]"	"135"	"149"	"14"	"DG808C15's ENL monitor reports Engine Run 3 minutes, starts at T=172603 and: 426 msl [3 agl]; Height gain/loss is: 2897
DG808C15's ENL monitor reports Engine Run 2 minutes, starts at T=174403 and: 1377 msl [948 agl]; Height gain/loss is: 1841
DG808C15 Motor noise registered by ENL sensor at t=['172607', '172935', '174403', '174639'] and [-3, 2838, 948, 2730]AGL"	"172603,174403"	""	""	"426,1377"	""	""	"3.0,948.0"	""	""	"172607,172935,174403,174639"	""	""	"-3.0,2838.0,948.0,2730.0"	""	""	"174403"	"Engine_Run_Start"	"ENL"	"2021-04-18 17:44:03"	"1900-01-01 17:26:03"	"2021-04-18 17:39:03"	"2021-04-18 17:44:03"	"3.0,948.0"	"-0.2777777777777778,-0.9566666666666667"	"0.06512913898043138,5.563605136403988"	"False,False"	"422.424219788208,435.9204389239502"	"Open Forest, Other,Closed Forest, Evergreen Needleleaf"	"False,False"	"180,120"	"2897, 1841"	""	""	""	"46.6,48.8"	"60.6,56.6"	"52.6,52.7"	"46.2,47.2"	"61.2,70.7"	"54.8,59.1"	"True"	""	""	""
"112"	"06/17/2024"	"2024-06-17-CNI-27Z-01.IGC"	"AS 33ES"	"2:36:15"	"202858"	"230513"	"HOME"	"3694"	"10459[6640]"	"1126"	"1190"	"64"	"AS33Es's ENL monitor reports Engine Run 3 minutes, starts at T=225826 and: 5459 msl [1785 agl]; Height gain/loss is: -115
AS33Es Motor noise registered by ENL sensor at t=['225826', '230141'] and [1785, 1670]AGL"	"225826"	""	""	"5459"	""	""	"1785.0"	""	""	"225826,230141"	""	""	"1785.0,1670.0"	""	""	"225826"	"Engine_Run_Start"	"ENL"	"2024-06-17 22:58:26"	"1900-01-01 20:28:58"	"2024-06-17 22:53:26"	"2024-06-17 22:58:26"	"1785.0"	"-2.6933333333333334"	"6.456652434632629"	"False"	"3672.716553637695"	"Herbaceous vegetation"	"True"	"180"	"-115"	""	""	""	"45.8"	"91.6"	"78.4"	"46.9"	"92.8"	"74.5"	"True"	""	""	""
"113"	"03/13/2020"	"2020-03-13-CNI-27G-01.IGC"	"VENTUS 3F"	"2:35:34"	"183631"	"211205"	"HOME"	"137"	"6017[5876]"	"42"	"-33"	"-75"	"Ventus3F's ENL monitor reports Engine Run 8 minutes, starts at T=210001 and: 2043 msl [1919 agl]; Height gain/loss is: -711
Ventus3F Motor noise registered by ENL sensor at t=['210001', '210853'] and [1919, 1201]AGL"	"210001"	""	""	"2043"	""	""	"1919.0"	""	""	"210001,210853"	""	""	"1919.0,1201.0"	""	""	"210001"	"Engine_Run_Start"	"ENL"	"2020-03-13 21:00:01"	"1900-01-01 18:36:31"	"2020-03-13 20:55:01"	"2020-03-13 21:00:01"	"1919.0"	"0.5266666666666666"	"5.78469447829165"	"False"	"132.6724968460083"	"Closed Forest, Evergreen Needleleaf"	"True"	"480"	"-711"	""	""	""	"60.0"	"74.0"	"64.9"	"45.0"	"73.3"	"65.4"	"False"	""	""	""
"117"	"08/10/2017"	"2017-08-10-CNI-20Y-01.IGC"	"ASW 27-18 E (ASG-29E)"	"4:53:00"	"175624"	"224924"	"HOME"	"938"	"6607[5728]"	"286"	"244"	"-42"	"ASG29E.'s ENL monitor reports Engine Run 28 minutes, starts at T=220256 and: 1210 msl [715 agl]; Height gain/loss is: 5128
ASG29E. Motor noise registered by ENL sensor at t=['220256', '223112'] and [715, 5725]AGL"	"220256"	""	""	"1210"	""	""	"715.0"	""	""	"220256,223112"	""	""	"715.0,5725.0"	""	""	"220256"	"Engine_Run_Start"	"ENL"	"2017-08-10 22:02:56"	"1900-01-01 17:56:24"	"2017-08-10 21:57:56"	"2017-08-10 22:02:56"	"715.0"	"-1.6233333333333333"	"5.979364622755721"	"False"	"506.4657078009033"	"Shrubs"	"False"	"1680"	"5128"	""	""	""	"62.1"	"75.1"	"69.5"	"52.5"	"95.0"	"80.6"	"False"	""	""	""
